States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Gujarat,37.43,32.43,37.0,77.43,136.86,120.0,108.29,95.71,41.57,57.57,194.71,153.86,140.71,150.86,139.71,105.71,50.29,279.14,14.86,23.57,25.14,72.86
Haryana,40.5,26.0,33.0,68.0,128.25,102.0,99.5,94.0,42.25,59.0,188.5,144.0,132.75,128.0,161.25,114.25,45.5,235.75,25.75,17.25,22.75,73.5
Himachal Pradesh,37.0,21.0,32.17,75.75,142.0,120.5,112.5,87.0,44.5,53.08,219.5,165.17,140.17,133.7,152.4,121.5,46.08,257.92,27.58,29.92,38.42,60.92
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,118.33,116.67,101.67,51.67,47.67,243.0,154.67,144.67,139.33,168.67,125.0,49.0,319.67,26.67,27.67,36.33,69.0
Jharkhand,37.63,31.0,35.11,75.05,141.58,106.95,106.26,80.74,43.83,57.29,187.0,142.16,123.47,132.11,157.24,106.11,47.72,294.65,23.39,19.79,29.37,71.79
Karnataka,54.38,41.75,45.25,87.19,149.91,131.56,121.19,105.09,41.59,50.06,179.31,170.53,122.88,140.9,124.75,99.03,51.41,292.69,19.53,30.5,33.16,40.44
Madhya Pradesh,36.7,27.56,33.33,75.98,142.63,105.74,106.23,89.72,42.05,57.36,192.09,137.7,121.14,114.84,144.6,112.87,47.4,245.21,19.02,20.48,26.69,50.79
Maharashtra,47.21,38.11,42.58,76.21,156.0,120.32,117.26,96.84,43.05,57.16,190.79,161.0,131.26,114.32,127.95,105.75,52.0,291.42,23.53,27.68,31.26,53.95
Meghalaya,38.6,38.3,38.1,78.83,131.0,127.83,114.89,90.7,46.1,72.5,143.0,134.6,142.75,136.5,180.0,138.6,79.5,359.5,22.0,26.1,47.4,76.5
Mizoram,47.09,43.0,45.2,99.44,132.0,122.86,123.38,104.82,50.0,77.09,183.33,193.1,171.6,144.36,187.0,138.0,116.63,496.11,28.82,39.73,52.45,99.64
Nagaland,40.56,40.13,47.88,96.67,130.25,122.75,123.0,97.06,50.69,70.64,200.0,142.67,176.0,152.87,201.25,165.0,76.11,309.0,17.56,28.19,49.06,101.94
Odisha,36.92,37.74,40.32,75.32,147.84,113.0,106.32,79.24,44.08,51.88,169.17,139.16,116.65,134.9,118.2,96.36,50.12,270.4,26.12,20.4,31.92,45.4
Punjab,36.0,23.7,28.7,80.1,145.7,115.0,108.9,93.6,42.5,56.4,194.88,129.78,122.78,118.33,139.13,103.0,52.0,274.5,26.4,20.0,33.3,58.7
Rajasthan,40.0,30.04,32.54,71.39,114.96,106.32,101.46,90.25,41.39,51.89,185.04,153.89,129.92,142.85,163.91,139.8,43.04,298.18,20.25,22.11,24.89,88.44
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.2,42.0,87.6
Tamil Nadu,55.38,43.52,51.86,82.48,164.83,132.48,117.9,92.15,41.76,45.24,211.93,186.04,124.72,,116.14,93.76,54.03,287.05,23.66,34.69,36.17,32.79
Telangana,48.8,38.4,42.9,70.4,131.9,115.2,106.4,90.2,39.7,62.9,168.3,173.2,117.8,151.5,119.7,98.9,54.7,296.4,18.6,29.1,29.3,53.5
Tripura,39.0,,36.33,80.67,134.0,122.67,111.0,97.0,46.67,71.67,,130.33,127.67,123.33,156.0,107.33,62.33,201.33,11.33,24.67,43.0,85.0
Uttar Pradesh,36.75,25.72,31.91,74.19,136.65,110.53,107.24,92.07,42.15,62.15,192.19,141.97,130.53,135.09,163.58,113.53,47.65,243.21,26.75,20.03,29.89,60.16
Uttarakhand,35.0,26.0,32.5,83.5,123.75,106.0,110.0,101.25,41.25,63.0,161.5,139.25,142.5,142.0,155.0,114.0,51.25,263.25,28.25,22.75,31.0,52.75
West Bengal,44.0,29.11,37.82,76.32,135.86,112.9,118.18,105.82,43.67,54.71,203.27,132.62,114.38,115.86,133.48,102.45,52.05,270.9,22.24,21.0,35.24,70.86
2023-08-29,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,45.0,,67.0,81.0,153.0,136.0,120.0,96.0,53.0,73.0,,176.0,220.0,,141.0,125.0,73.0,325.0,20.0,40.0,60.0,80.0
Andhra Pradesh,53.4,40.8,44.2,73.6,151.0,120.4,115.6,99.8,43.2,58.2,178.0,195.0,117.4,175.0,119.8,98.6,58.2,322.0,21.2,31.6,30.6,47.0
Arunachal pradesh,34.5,42.0,38.25,88.25,134.5,120.75,116.75,101.75,51.0,71.33,,159.0,153.33,143.67,212.5,,70.0,316.5,21.0,25.0,40.67,100.0
Assam,41.96,31.36,36.48,77.0,133.93,107.78,109.74,91.07,44.81,69.8,199.5,148.11,140.81,141.74,157.55,116.67,56.69,258.96,13.27,22.12,35.15,82.96
Bihar,38.28,26.17,32.86,73.56,136.11,112.39,108.42,80.08,43.22,55.22,190.76,137.25,126.03,130.33,169.34,111.4,48.47,278.72,22.57,19.56,31.14,65.14
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,45.0
Chhattisgarh,37.0,34.67,37.67,81.0,140.5,110.0,108.33,89.0,42.5,55.83,200.83,147.67,132.33,131.83,138.33,120.5,49.5,321.83,21.5,22.83,29.33,41.33
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,88.0,41.0,53.0,218.0,144.0,130.0,130.0,144.0,104.0,60.0,243.0,26.0,27.0,38.0,43.0
DNH and DD,45.67,39.0,44.33,81.33,151.0,130.0,121.67,96.33,41.33,64.0,211.33,155.0,140.67,132.67,133.0,101.67,68.0,350.0,27.0,21.67,32.67,42.33
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,42.5,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,34.0
Gujarat,36.8,33.0,37.6,75.2,131.2,114.8,101.6,93.2,42.0,56.4,190.0,152.0,138.4,151.2,137.6,108.4,50.0,276.8,15.0,24.4,26.6,60.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99.0,93.75,42.0,58.75,188.5,143.25,132.75,127.75,158.5,114.0,45.25,234.5,25.75,16.75,22.75,72.25
Himachal Pradesh,37.08,21.0,32.17,75.75,142.0,120.5,112.5,86.92,44.5,53.08,219.5,165.17,140.0,133.7,152.8,121.5,46.08,257.92,27.58,30.67,38.67,58.92
Jammu and Kashmir,39.25,30.25,40.75,85.0,125.25,118.5,115.0,101.25,50.75,51.75,243.0,161.0,146.75,146.25,169.0,135.33,48.25,316.25,25.0,26.75,37.5,68.75
Jharkhand,38.06,30.71,34.83,75.44,141.39,106.83,106.39,80.0,43.82,56.81,185.0,138.18,122.11,131.0,156.44,107.06,48.12,295.88,23.0,19.67,28.61,67.11
Karnataka,54.52,41.84,45.39,88.03,150.55,131.84,121.1,105.65,41.77,49.84,179.71,171.03,123.52,140.7,124.23,99.13,51.87,294.39,19.45,31.03,33.52,38.42
Madhya Pradesh,36.69,27.48,33.36,76.14,142.43,105.45,106.57,90.07,42.1,57.79,192.12,138.21,121.29,115.31,145.32,112.74,47.36,246.57,19.12,20.48,26.24,48.98
Maharashtra,47.16,38.16,42.63,76.47,156.16,120.32,117.53,97.0,43.05,57.16,190.84,161.0,131.26,114.32,127.79,105.63,52.05,291.47,23.58,27.74,31.37,51.42
Meghalaya,38.5,38.2,38.0,78.83,131.0,127.83,114.67,91.0,46.1,72.5,130.0,134.8,139.5,137.7,175.0,136.0,79.5,359.5,22.2,26.1,47.4,72.2
Mizoram,47.0,43.0,45.2,99.22,132.0,122.86,123.38,104.82,50.0,77.09,184.67,193.1,171.6,144.36,188.33,138.0,116.63,488.13,28.82,39.91,52.45,79.0
Nagaland,40.73,40.14,47.07,96.36,131.18,122.75,123.57,96.87,50.73,71.08,200.0,142.67,176.0,152.87,200.0,165.0,73.75,318.93,17.4,28.07,48.0,99.73
Odisha,37.0,37.7,39.96,74.96,147.57,111.71,107.36,79.11,43.75,51.81,173.14,140.36,117.62,138.0,119.14,96.75,49.68,274.64,26.21,20.46,31.79,47.14
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,37.0
Punjab,36.45,23.91,28.64,79.82,143.73,114.18,109.09,94.0,42.83,58.17,196.6,128.18,120.91,119.64,145.8,102.13,51.5,264.17,26.5,20.5,34.3,57.0
Rajasthan,39.96,29.29,32.38,71.96,115.83,104.33,100.83,89.29,41.48,52.23,184.04,154.21,131.91,139.87,163.71,141.33,44.0,301.04,20.87,22.17,25.43,83.52
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.2,42.0,81.6
Tamil Nadu,55.0,43.46,52.32,82.57,165.07,132.54,117.64,91.64,41.86,45.0,211.54,184.76,125.14,,116.21,93.43,53.82,293.11,23.64,34.25,36.29,32.11
Telangana,48.8,38.4,42.9,70.4,131.9,115.2,106.4,90.2,39.6,63.0,168.4,173.2,118.0,151.5,119.7,98.9,54.8,296.7,18.6,29.1,29.5,46.7
Tripura,38.75,,38.0,80.67,139.0,125.67,112.0,101.5,46.25,70.75,,137.25,127.67,122.25,156.0,106.0,68.75,218.25,11.0,24.25,39.75,80.0
Uttar Pradesh,36.69,25.7,31.88,74.17,136.91,110.51,107.19,92.07,42.23,62.22,192.11,141.97,130.53,135.26,163.48,113.58,47.81,243.64,26.76,20.04,29.87,57.0
Uttarakhand,34.75,26.25,32.5,84.5,124.5,106.25,110.5,101.5,41.25,63.0,162.5,139.25,142.5,141.5,154.75,114.0,51.25,263.25,28.25,22.75,31.0,51.75
West Bengal,43.82,29.11,37.82,77.23,136.27,113.64,117.95,105.23,43.76,54.43,203.8,133.29,114.52,117.52,134.9,102.0,52.14,278.05,21.52,20.9,35.38,60.79
2023-08-30,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175.0,119.2,98.6,58.2,325.0,21.2,31.4,30.2,42.0
Arunachal pradesh,33.33,,37.67,88.33,136.67,117.67,115.67,99.0,51.0,71.33,,157.67,153.33,143.33,212.5,,70.0,316.5,21.0,25.0,40.67,95.67
Assam,41.75,31.45,36.54,76.93,133.96,107.46,109.57,91.18,44.96,69.81,199.5,148.11,139.68,140.82,156.04,116.67,56.61,256.44,13.21,21.79,35.0,82.2
Bihar,38.09,25.97,32.8,73.69,135.31,111.8,107.8,80.11,43.2,55.23,193.75,138.89,126.46,130.23,169.11,110.59,48.26,276.2,22.89,19.31,31.49,67.31
Chhattisgarh,38.5,30.75,35.25,72.25,137.5,99.25,105.5,83.0,41.25,66.5,191.25,149.0,122.5,130.25,156.0,122.5,46.5,317.75,25.75,24.5,31.25,53.0
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,89.0,41.0,53.0,218.0,144.0,130.0,130.0,144.0,104.0,60.0,243.0,26.0,27.0,38.0,43.0
DNH and DD,45.67,39.33,44.33,81.0,151.0,130.0,121.33,96.33,41.33,64.0,211.33,155.0,140.67,132.67,132.67,101.67,68.0,350.0,27.0,21.67,33.33,41.67
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,43.0,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,36.5
Gujarat,38.33,33.33,39.33,73.67,134.67,113.67,107.67,97.0,43.0,57.67,185.67,141.0,134.0,145.33,129.33,111.67,50.0,283.0,14.67,26.67,27.67,59.0
Haryana,40.5,26.0,33.0,68.0,130.75,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,23.0,71.0
Himachal Pradesh,37.08,21.0,32.17,76.08,142.5,120.5,112.5,86.83,44.5,53.08,219.5,165.0,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.5,38.75,58.0
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,118.33,116.67,101.67,51.67,47.67,243.0,154.67,144.67,139.33,168.67,125.0,49.0,319.67,26.67,27.67,40.0,66.67
Jharkhand,37.79,30.94,35.0,75.21,141.53,107.0,106.32,80.68,43.76,56.88,186.46,139.56,123.11,132.5,157.35,106.44,48.18,295.81,23.0,19.53,29.21,64.06
Karnataka,54.66,41.72,45.34,87.66,150.72,131.91,121.44,105.53,41.72,50.0,179.88,170.41,122.81,140.81,124.88,99.09,51.66,292.94,19.41,30.81,33.81,36.09
Madhya Pradesh,36.66,28.03,33.88,74.72,144.25,104.16,105.63,88.0,42.03,57.13,188.25,136.41,119.19,114.47,143.03,114.2,47.78,235.38,19.13,20.77,26.68,46.29
Maharashtra,47.32,38.16,42.63,76.63,156.63,120.53,117.84,97.32,43.11,57.63,190.63,160.94,131.21,114.16,127.89,105.63,52.11,291.47,23.58,27.42,31.11,49.53
